,modality,domain,model,task,Accuracy
18,descr/OFA-huge,books,Llama-2-13b-chat-hf,title selection,0.3904761904761905
12,descr/OFA-huge,books,gpt-3.5-turbo-0125,title selection,0.6061224489795919
4,descr/OFA-huge,books,gpt-4-0125-preview,title selection,0.7346938775510204
35,descr/OFA-huge,books,gpt-4-vision-preview,title selection,0.7074829931972789
26,descr/OFA-huge,books,vicuna-13b-v1.5,title selection,0.2897959183673469
15,descr/OFA-huge,music,Llama-2-13b-chat-hf,title selection,0.29773869346733667
9,descr/OFA-huge,music,gpt-3.5-turbo-0125,title selection,0.457286432160804
1,descr/OFA-huge,music,gpt-4-0125-preview,title selection,0.5288944723618091
31,descr/OFA-huge,music,gpt-4-vision-preview,title selection,0.5301507537688442
23,descr/OFA-huge,music,vicuna-13b-v1.5,title selection,0.2650753768844221
19,descr/gpt-4-vision-preview,books,Llama-2-13b-chat-hf,title selection,0.09931972789115646
13,descr/gpt-4-vision-preview,books,gpt-3.5-turbo-0125,title selection,0.680952380952381
5,descr/gpt-4-vision-preview,books,gpt-4-0125-preview,title selection,0.8217687074829932
36,descr/gpt-4-vision-preview,books,gpt-4-vision-preview,title selection,0.817687074829932
27,descr/gpt-4-vision-preview,books,vicuna-13b-v1.5,title selection,0.3469387755102041
16,descr/gpt-4-vision-preview,music,Llama-2-13b-chat-hf,title selection,0.16834170854271358
10,descr/gpt-4-vision-preview,music,gpt-3.5-turbo-0125,title selection,0.592964824120603
2,descr/gpt-4-vision-preview,music,gpt-4-0125-preview,title selection,0.6695979899497487
32,descr/gpt-4-vision-preview,music,gpt-4-vision-preview,title selection,0.664572864321608
24,descr/gpt-4-vision-preview,music,vicuna-13b-v1.5,title selection,0.3278894472361809
17,descr/llava-v1.5-13b,books,Llama-2-13b-chat-hf,title selection,0.1816326530612245
11,descr/llava-v1.5-13b,books,gpt-3.5-turbo-0125,title selection,0.6707482993197279
3,descr/llava-v1.5-13b,books,gpt-4-0125-preview,title selection,0.8047619047619048
34,descr/llava-v1.5-13b,books,gpt-4-vision-preview,title selection,0.7891156462585034
25,descr/llava-v1.5-13b,books,vicuna-13b-v1.5,title selection,0.3564625850340136
14,descr/llava-v1.5-13b,music,Llama-2-13b-chat-hf,title selection,0.28266331658291455
8,descr/llava-v1.5-13b,music,gpt-3.5-turbo-0125,title selection,0.6067839195979899
0,descr/llava-v1.5-13b,music,gpt-4-0125-preview,title selection,0.6557788944723618
30,descr/llava-v1.5-13b,music,gpt-4-vision-preview,title selection,0.6432160804020101
22,descr/llava-v1.5-13b,music,vicuna-13b-v1.5,title selection,0.3592964824120603
29,image,books,gpt-4-vision-CoI,title selection,0.8224489795918367
37,image,books,gpt-4-vision-preview,title selection,0.8081632653061225
21,image,books,llava-v1.5-13b,title selection,0.5816326530612245
7,image,books,llava-v1.5-CoI,title selection,0.6156462585034014
28,image,music,gpt-4-vision-CoI,title selection,0.6545226130653267
33,image,music,gpt-4-vision-preview,title selection,0.6469849246231156
20,image,music,llava-v1.5-13b,title selection,0.41331658291457285
6,image,music,llava-v1.5-CoI,title selection,0.44974874371859297
