,modality,domain,model,task,Hit@1,Hit@10,Hit@20
20,descr/OFA-huge,books,Llama-2-13b-chat-hf,title generation,0.05238095238095238,0.13945578231292516,0.17482993197278912
12,descr/OFA-huge,books,gpt-3.5-turbo-0125,title generation,0.14081632653061224,0.35034013605442177,0.4122448979591837
4,descr/OFA-huge,books,gpt-4-0125-preview,title generation,0.1469387755102041,0.3836734693877551,0.4312925170068027
37,descr/OFA-huge,books,gpt-4-vision-preview,title generation,0.15034013605442176,0.38231292517006804,0.4421768707482993
28,descr/OFA-huge,books,vicuna-13b-v1.5,title generation,0.0013605442176870747,0.007482993197278911,0.01020408163265306
17,descr/OFA-huge,music,Llama-2-13b-chat-hf,title generation,0.04271356783919598,0.10678391959798995,0.14949748743718594
9,descr/OFA-huge,music,gpt-3.5-turbo-0125,title generation,0.04648241206030151,0.157035175879397,0.19472361809045227
1,descr/OFA-huge,music,gpt-4-0125-preview,title generation,0.07035175879396985,0.19597989949748743,0.23743718592964824
33,descr/OFA-huge,music,gpt-4-vision-preview,title generation,0.07914572864321608,0.2022613065326633,0.23618090452261306
25,descr/OFA-huge,music,vicuna-13b-v1.5,title generation,0.010050251256281407,0.02512562814070352,0.02763819095477387
21,descr/gpt-4-vision-preview,books,Llama-2-13b-chat-hf,title generation,0.027891156462585033,0.05714285714285714,0.06870748299319727
13,descr/gpt-4-vision-preview,books,gpt-3.5-turbo-0125,title generation,0.1761904761904762,0.45102040816326533,0.5115646258503401
15,descr/gpt-4-vision-preview,books,gpt-4-0125-CoI,title generation,0.20340136054421767,0.5102040816326531,0.5945578231292517
5,descr/gpt-4-vision-preview,books,gpt-4-0125-preview,title generation,0.19523809523809524,0.5047619047619047,0.5741496598639456
38,descr/gpt-4-vision-preview,books,gpt-4-vision-preview,title generation,0.19523809523809524,0.48299319727891155,0.5544217687074829
29,descr/gpt-4-vision-preview,books,vicuna-13b-v1.5,title generation,0.0,0.0,0.0
18,descr/gpt-4-vision-preview,music,Llama-2-13b-chat-hf,title generation,0.048994974874371856,0.13442211055276382,0.1721105527638191
10,descr/gpt-4-vision-preview,music,gpt-3.5-turbo-0125,title generation,0.06155778894472362,0.21482412060301506,0.2562814070351759
14,descr/gpt-4-vision-preview,music,gpt-4-0125-CoI,title generation,0.08668341708542714,0.2663316582914573,0.30778894472361806
2,descr/gpt-4-vision-preview,music,gpt-4-0125-preview,title generation,0.11055276381909548,0.2989949748743719,0.33542713567839194
34,descr/gpt-4-vision-preview,music,gpt-4-vision-preview,title generation,0.11557788944723618,0.292713567839196,0.3379396984924623
26,descr/gpt-4-vision-preview,music,vicuna-13b-v1.5,title generation,0.0,0.001256281407035176,0.001256281407035176
19,descr/llava-v1.5-13b,books,Llama-2-13b-chat-hf,title generation,0.036734693877551024,0.09183673469387756,0.11020408163265306
11,descr/llava-v1.5-13b,books,gpt-3.5-turbo-0125,title generation,0.1619047619047619,0.4095238095238095,0.47278911564625853
3,descr/llava-v1.5-13b,books,gpt-4-0125-preview,title generation,0.18979591836734694,0.47006802721088436,0.54421768707483
36,descr/llava-v1.5-13b,books,gpt-4-vision-preview,title generation,0.19387755102040816,0.45510204081632655,0.5210884353741496
27,descr/llava-v1.5-13b,books,vicuna-13b-v1.5,title generation,0.0,0.0,0.0
16,descr/llava-v1.5-13b,music,Llama-2-13b-chat-hf,title generation,0.052763819095477386,0.1457286432160804,0.1871859296482412
8,descr/llava-v1.5-13b,music,gpt-3.5-turbo-0125,title generation,0.06155778894472362,0.1922110552763819,0.23115577889447236
0,descr/llava-v1.5-13b,music,gpt-4-0125-preview,title generation,0.10050251256281408,0.26884422110552764,0.32537688442211055
32,descr/llava-v1.5-13b,music,gpt-4-vision-preview,title generation,0.11306532663316583,0.2914572864321608,0.3278894472361809
24,descr/llava-v1.5-13b,music,vicuna-13b-v1.5,title generation,0.002512562814070352,0.011306532663316583,0.01507537688442211
31,image,books,gpt-4-vision-CoI,title generation,0.21360544217687075,0.5299319727891156,0.5986394557823129
39,image,books,gpt-4-vision-preview,title generation,0.20204081632653062,0.48639455782312924,0.5503401360544218
23,image,books,llava-v1.5-13b,title generation,0.021768707482993196,0.04557823129251701,0.04965986394557823
7,image,books,llava-v1.5-CoI,title generation,0.014965986394557823,0.03605442176870748,0.0380952380952381
30,image,music,gpt-4-vision-CoI,title generation,0.12185929648241206,0.3165829145728643,0.3806532663316583
35,image,music,gpt-4-vision-preview,title generation,0.11809045226130653,0.29396984924623115,0.35678391959798994
22,image,music,llava-v1.5-13b,title generation,0.0678391959798995,0.14321608040201006,0.17587939698492464
6,image,music,llava-v1.5-CoI,title generation,0.05402010050251256,0.12060301507537688,0.15452261306532664
